@RELATION Edge_8
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
16.2141,13.3889,7.8502,13.1931,16.2077,13.7847,5.8292,13.5321,0
16.5413,13.5169,7.6676,12.6066,15.4613,13.7623,6.2162,14.2277,0
17.053,13.6874,7.5306,12.3136,15.0405,13.4531,6.2464,14.6753,0
16.5149,13.3968,7.5935,12.3574,15.2064,13.9701,6.519,14.442,0
16.7549,13.4424,7.3939,12.0754,14.9761,14.0072,6.58,14.7701,0
15.9795,12.4835,6.7479,12.0871,15.872,15.0075,7.1309,14.6917,0
11.8718,10.6269,7.2578,13.6059,19.0001,16.7769,8.2071,12.6535,1
11.9559,10.7582,7.4487,13.6285,18.8466,16.6174,8.1418,12.603,1
11.7623,10.7309,7.4758,13.8464,19.0218,16.5953,8.0949,12.4726,1
11.2535,10.1238,6.8805,14.3868,20.4155,17.2742,7.6183,12.0473,1
11.1898,10.4236,7.4629,14.2975,19.9644,16.967,7.7725,11.9223,1
16.5967,12.7086,6.478,11.6422,15.3051,14.9519,7.1072,15.2102,0
16.9354,13.0402,6.7477,11.6104,15.0183,14.2998,7.0379,15.3103,0
16.888,12.8809,6.622,11.5085,14.937,14.4688,7.2611,15.4336,0
17.4405,13.154,6.5253,11.4474,14.9728,13.948,7.0026,15.5095,0
16.6275,13.23,7.232,12.1151,15.3687,14.3478,6.5099,14.5691,0
17.0879,13.1658,6.7856,11.8406,15.0492,14.1087,6.7161,15.2461,0
17.1885,12.9959,6.5308,11.307,14.7606,14.2906,7.2638,15.6628,0
16.6732,12.465,6.1403,11.2951,15.0565,15.1984,7.491,15.6805,0
17.4929,12.9322,6.2199,11.1977,14.7647,14.2496,7.3459,15.7972,0
18.1243,13.3705,6.3014,10.6431,13.8029,13.914,7.4409,16.403,0
17.5299,13.0505,6.3536,11.1874,14.6256,14.1892,7.284,15.7798,0
11.7223,12.8438,10.4094,16.2983,17.6035,13.083,6.7559,11.284,3
12.1881,13.3478,11.136,15.8593,16.3165,12.8906,6.9169,11.3449,3
11.736,12.937,10.8191,16.4389,17.4103,13.0752,6.6379,10.9457,3
12.8994,13.6076,10.8654,15.3339,15.8629,12.9458,6.8059,11.679,3
12.4409,13.8202,11.4661,16.3364,16.2983,12.4369,6.1074,11.0938,3
12.7876,13.9219,11.6076,15.7571,15.5929,12.3633,6.6751,11.2944,3
12.7137,13.8055,11.3354,16.0286,16.0196,12.4899,6.2324,11.3748,3
13.0147,14.1197,11.6487,15.9831,15.4824,12.1298,6.3621,11.2596,3
12.5209,13.5743,11.2762,16.155,16.2863,12.5209,6.4603,11.2063,3
12.9248,13.4378,10.7572,15.2993,15.8867,12.7277,7.0963,11.8701,3
9.0746,13.2617,9.6997,20.2098,19.5847,12.1655,5.6006,10.4033,3
12.5572,13.8655,11.5185,16.2567,16.3628,12.4135,6.0488,10.977,3
12.958,13.9875,11.3545,15.8496,15.9314,12.364,6.2287,11.3262,3
12.1229,13.1167,10.8786,16.2823,16.8431,12.8468,6.7272,11.1824,3
12.5689,13.6453,11.4763,15.6559,15.8767,12.4978,7.0434,11.2356,3
17.7389,13.4345,6.6665,11.466,14.6562,13.6476,6.839,15.5512,0
18.3282,14.4225,7.643,11.5113,13.8086,12.7661,6.228,15.2923,0
16.6193,12.2364,5.8102,11.1407,15.2077,15.4091,7.7411,15.8355,0
16.8824,13.113,6.8895,11.9139,15.2518,14.3308,6.7048,14.9137,0
16.8496,13.5584,7.5477,12.4823,15.6692,13.691,6.1042,14.0975,0
16.1596,12.69,6.8627,12.2069,15.9134,14.8352,6.7843,14.5479,0
16.4027,12.5179,6.373,11.4786,15.2535,14.9786,7.481,15.5147,0
18.2113,13.894,7.0033,11.3004,14.1328,13.2067,6.6315,15.62,0
17.7828,13.6084,6.8864,11.1797,14.1245,13.7805,6.9952,15.6425,0
13.7275,14.0933,10.9922,14.8104,15.2217,12.359,6.8174,11.9786,3
12.8195,13.3618,10.5934,15.0774,16.1654,13.186,7.0416,11.755,3
12.2558,12.8036,10.3771,14.8546,16.3336,13.4264,8.0542,11.8947,3
12.2809,13.2227,10.8558,15.2675,16.2819,13.0121,7.4691,11.61,3
12.3398,14.9415,10.2945,17.2799,15.942,11.955,5.5557,11.6916,3
11.6064,12.5885,10.2576,15.768,17.2707,13.5909,7.456,11.4619,3
12.6962,13.3136,10.7764,15.2949,16.0825,12.9763,7.2097,11.6505,3
11.8567,13.1773,11.0582,16.3076,16.867,12.9382,6.7038,11.0911,3
12.5972,13.435,10.7849,15.7823,16.4371,12.9938,6.5392,11.4305,3
