@RELATION Edge_dp_16
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
-0.8177,-2.3714,-5.1853,-1.9184,0.892,-2.5166,-1.4228,1.3131,-1.5149,0.354,12.2677,-10.7882,9.8927,-6.3462,-0.63,0
-0.5089,-2.2164,-5.5751,-2.0129,0.5918,-2.3596,-1.4249,1.308,-1.3834,0.2224,13.4645,-11.772,11.0483,-7.4447,-1.5681,0
-0.9203,-2.1687,-5.6652,-1.8481,0.479,-2.3875,-1.4559,1.2597,-1.2937,0.4262,13.5443,-11.7112,11.7527,-8.3091,-1.3201,0
-0.4599,-1.7858,-5.592,-2.0364,0.6439,-2.2489,-1.4146,1.5637,-1.5637,0.1998,13.9468,-12.215,11.1905,-8.1074,-1.1863,0
-0.3323,-1.8628,-5.7226,-2.0034,0.4888,-2.2398,-1.3292,1.5241,-1.5145,0.2173,14.4614,-12.8095,11.8254,-8.643,-1.2014,0
-1.3366,-2.0736,-4.9683,-1.8636,0.8019,-2.0507,-1.2946,1.665,-1.6802,0.2062,14.6299,-13.2895,12.0904,-8.348,-1.3098,0
0.2885,-0.8732,-1.9694,-1.9233,2.5657,-2.1195,-0.4269,3.8734,-3.5984,-0.2327,10.1721,-10.5452,10.2683,-7.8893,0.8117,1
0.2712,-0.7777,-2.0531,-1.9938,2.6279,-1.9579,-0.4203,4.1151,-3.9822,-0.3071,9.5971,-10.0336,10.3928,-7.9248,0.7795,1
0.4236,-0.7377,-1.9897,-1.9801,2.4815,-1.8897,-0.4537,3.738,-3.5064,-0.0635,9.323,-9.2436,9.6276,-7.2366,0.714,1
0.4531,-0.5997,-1.9593,-1.8127,2.5564,-2.1192,-0.4505,3.9825,-3.8812,-0.2079,11.3904,-11.0252,11.2411,-8.4875,0.6904,1
0.6481,-0.713,-1.839,-2.1023,3.1069,-2.3332,-0.3322,4.0426,-3.6578,-0.5346,9.7986,-10.3495,10.463,-7.98,0.7899,1
-1.0142,-2.6318,-5.6481,-1.8664,0.6108,-1.8287,-1.2178,1.5609,-1.5157,0.2074,15.4098,-14.1995,12.6989,-8.4647,-1.9267,0
-1.4459,-2.5094,-5.5256,-2.0147,0.4533,-1.7895,-1.2089,1.6059,-1.5851,0.1481,14.2273,-12.8614,12.4733,-8.1299,-1.668,0
-1.5268,-2.872,-5.4881,-1.8482,0.7916,-1.8244,-1.0893,1.6102,-1.759,0.0863,15.128,-13.8155,12.8661,-8.7798,-1.7678,0
-2.1288,-3.0958,-5.7117,-1.8979,0.5015,-1.8257,-0.9562,1.6706,-1.7175,0.1479,13.4765,-12.1775,11.86,-6.621,-2.1071,0
-0.1293,-2.3118,-6.0634,-2.2242,0.6553,-2.1227,-1.3289,1.5366,-1.5505,0.2723,14.2171,-12.9574,11.2362,-7.8584,-0.9644,0
-1.6938,-2.723,-5.6501,-1.9341,0.5046,-1.9821,-1.2654,1.2133,-1.2814,0.3644,13.9351,-12.2693,12.2292,-7.5521,-2.3346,0
-1.8928,-2.9116,-5.3369,-1.814,0.447,-1.7746,-1.1338,1.5183,-1.5215,0.2497,14.4923,-13.1515,12.997,-8.3207,-1.8896,0
-1.515,-2.674,-5.2454,-1.6901,0.6157,-1.7806,-1.0805,1.6116,-1.5512,0.1509,15.9534,-14.6979,13.2914,-8.7945,-2.2213,0
-2.6782,-4.0603,-5.5087,-1.7607,0.7496,-1.6593,-1.0072,1.7529,-1.7647,0.043,14.1836,-12.9499,12.5673,-7.2304,-1.8466,0
-1.9551,-3.6621,-5.9469,-1.8735,0.346,-1.4818,-0.9465,1.3871,-1.4035,0.1665,14.9553,-13.4865,13.2645,-8.8452,-1.3349,0
-2.2873,-3.7239,-5.6754,-1.8507,0.5672,-1.5896,-0.9701,1.3656,-1.4664,0.1679,14.1679,-12.9179,12.1418,-7.3433,-1.5746,0
1.234,-0.0058,-1.6968,-2.0246,2.4392,-2.4431,0.1196,2.9617,-3.8815,-0.4454,7.3387,-7.8979,7.358,-3.5208,1.3111,3
1.1431,0.485,-1.7464,-1.6483,2.1982,-2.5446,-0.407,2.4074,-2.8072,-0.4114,5.9191,-6.2958,6.3362,-2.6889,0.7476,3
1.1704,0.2396,-1.6694,-1.6714,2.3051,-2.6913,-0.3822,3.2379,-3.4339,-0.5446,7.4856,-7.5311,7.2776,-3.6101,1.0555,3
1.2551,0.5775,-2.3143,-1.8097,1.9744,-2.6937,-0.7568,2.971,-2.8313,-0.1898,6.9742,-6.9262,7.0825,-3.5173,0.5442,3
1.5079,0.5712,-1.9872,-1.8054,2.2907,-3.0616,-0.4893,2.7381,-2.86,-0.2895,6.8402,-7.1238,6.9461,-3.1555,0.9386,3
1.1851,0.7067,-1.8728,-1.6196,2.1332,-2.7506,-0.8896,2.417,-2.7111,-0.3994,5.987,-6.2753,6.129,-2.4317,0.7608,3
1.3833,0.8493,-2.1215,-1.799,2.2004,-3.1715,-0.5823,2.6948,-2.5927,-0.2813,6.9145,-7.1224,7.1762,-3.2557,0.6414,3
1.1768,0.4768,-2.0237,-1.6358,2.326,-2.7706,-0.889,2.3454,-2.8529,-0.3557,5.9695,-6.2733,6.1715,-2.3633,1.0281,3
1.0255,0.3627,-1.7929,-1.5782,2.3093,-2.7895,-0.7281,2.6429,-2.8779,-0.2104,6.9975,-7.144,6.9163,-3.3493,0.9254,3
0.9036,0.1662,-2.1107,-1.6783,2.065,-2.4264,-0.3566,2.7083,-3.1034,-0.2,6.6948,-6.8334,6.5961,-2.942,0.6818,3
1.4073,0.2438,-1.855,-2.5427,1.3713,-3.6501,-0.2958,4.2258,-4.2418,-0.132,16.1356,-15.5239,13.9648,-9.8589,2.0629,3
1.4477,0.6301,-2.0146,-1.6826,2.166,-3.0784,-0.7566,2.9383,-3.0535,-0.2868,7.304,-7.3401,6.9787,-3.198,0.7182,3
1.4169,0.3134,-2.3212,-1.7956,2.1466,-2.8322,-0.4571,2.8322,-2.997,-0.1143,6.8853,-7.0028,6.869,-3.1325,0.7182,3
0.9681,0.2384,-1.582,-1.6604,2.4277,-2.6743,-0.3445,2.7674,-3.4106,-0.3282,6.9192,-7.2996,7.0433,-3.1608,1.0432,3
1.1991,0.5941,-1.8639,-1.5441,2.0604,-2.5911,-0.7822,2.7073,-2.9972,-0.4852,5.8374,-6.1009,6.1225,-2.53,0.811,3
-2.162,-3.6199,-5.6951,-1.845,0.5305,-1.7616,-1.0476,1.5614,-1.458,0.2502,13.5355,-12.1642,12.2577,-7.2866,-2.0252,0
-0.6185,-3.2439,-6.1509,-2.0039,0.3866,-1.9297,-1.1813,1.2246,-1.203,0.3031,12.9913,-11.5595,11.343,-7.6661,-0.7577,0
-1.9309,-3.1123,-5.2607,-1.8032,0.7669,-1.6339,-0.9982,1.7374,-1.6891,0.1935,16.7323,-15.3852,14.1934,-9.7685,-2.456,0
-1.1513,-2.8182,-5.7211,-1.9283,0.6428,-1.9989,-1.2431,1.4197,-1.4233,0.2331,14.8821,-13.3741,12.0745,-8.4617,-1.4197,0
-0.6972,-2.4031,-5.8079,-2.127,0.5556,-2.3677,-1.359,1.3696,-1.3767,0.2725,12.3553,-10.7025,10.0159,-6.8448,-0.8494,0
-0.8504,-2.4349,-5.1367,-1.9078,0.7939,-2.0616,-1.2049,1.7007,-1.7854,0.1506,15.2781,-13.8379,11.9898,-8.7515,-1.0198,0
-1.3074,-1.9055,-5.2575,-1.938,0.6027,-1.8962,-1.122,1.4233,-1.5068,0.2689,15.5919,-14.1222,13.7605,-9.6805,-2.1281,0
-1.959,-3.3887,-5.6865,-1.9061,0.3953,-1.8637,-1.0802,1.419,-1.4931,0.3248,13.0215,-11.5708,11.3449,-7.1373,-1.1649,0
-1.3542,-3.0339,-5.6259,-1.9128,0.3697,-1.8324,-1.2257,1.4668,-1.511,0.2009,14.567,-13.1484,11.75,-7.5387,-1.1975,0
1.0576,0.2245,-2.7037,-1.7676,1.8871,-2.5444,-0.8114,2.8813,-2.8378,-0.5179,6.5792,-6.7259,6.5104,-2.7689,0.7406,3
1.1729,0.4072,-2.2072,-1.7283,2.0997,-2.5852,-0.7819,2.9501,-2.9256,-0.4594,6.7471,-7.0403,6.8351,-3.2856,0.7281,3
