@RELATION GSCM_3
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
34006.0,11118.0,121958.0,33804.0,11306.0,121192.0,34040.0,11090.0,121980.0,34304.0,10806.0,121692.0,0
31422.0,9958.0,126862.0,31422.0,9958.0,126862.0,31422.0,9958.0,126862.0,31422.0,9958.0,126862.0,0
30990.0,9625.0,127960.0,30990.0,9625.0,127960.0,30990.0,9625.0,127960.0,30990.0,9625.0,127960.0,0
36524.0,11210.0,119256.0,36524.0,11210.0,119256.0,36524.0,11210.0,119256.0,36524.0,11210.0,119256.0,0
36094.0,11152.0,119802.0,36094.0,11152.0,119802.0,36094.0,11152.0,119802.0,36094.0,11152.0,119802.0,0
31806.0,10148.0,126098.0,31806.0,10148.0,126098.0,31806.0,10148.0,126098.0,31806.0,10148.0,126098.0,0
15264.0,16590.0,129756.0,15264.0,16590.0,129756.0,15264.0,16590.0,129756.0,15264.0,16590.0,129756.0,1
14328.0,16921.0,130030.0,14328.0,16921.0,130030.0,14328.0,16921.0,130030.0,14328.0,16921.0,130030.0,1
18010.0,18867.0,122456.0,18010.0,18867.0,122456.0,18010.0,18867.0,122456.0,18010.0,18867.0,122456.0,1
13378.0,13995.0,136832.0,13378.0,13995.0,136832.0,13378.0,13995.0,136832.0,13378.0,13995.0,136832.0,1
8006.0,8800.0,152594.0,8006.0,8800.0,152594.0,8006.0,8800.0,152594.0,8006.0,8800.0,152594.0,1
32814.0,10088.0,125210.0,32814.0,10088.0,125210.0,32814.0,10088.0,125210.0,32814.0,10088.0,125210.0,0
40172.0,12133.0,113762.0,40172.0,12133.0,113762.0,40172.0,12133.0,113762.0,40172.0,12133.0,113762.0,0
40180.0,12176.0,113668.0,40180.0,12176.0,113668.0,40180.0,12176.0,113668.0,40180.0,12176.0,113668.0,0
33756.0,9805.0,124834.0,33756.0,9805.0,124834.0,33756.0,9805.0,124834.0,33756.0,9805.0,124834.0,0
25690.0,8216.0,136078.0,25690.0,8216.0,136078.0,25690.0,8216.0,136078.0,25690.0,8216.0,136078.0,0
32916.0,9502.0,126280.0,32916.0,9502.0,126280.0,32916.0,9502.0,126280.0,32916.0,9502.0,126280.0,0
36348.0,10618.0,120616.0,36348.0,10618.0,120616.0,36348.0,10618.0,120616.0,36348.0,10618.0,120616.0,0
21260.0,6283.0,144374.0,21260.0,6283.0,144374.0,21260.0,6283.0,144374.0,21260.0,6283.0,144374.0,0
