@RELATION Gabor_16
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
5.00547,496.282,6.82082,493.565,4.43636,494.547,-0.45747,490.24,0
5.21247,460.409,7.50242,464.483,5.20719,490.635,0.0462497,481.826,0
5.69971,452.611,5.8618,467.227,2.39989,502.225,-2.40105,485.047,0
7.12992,484.515,8.86992,487.749,5.13204,521.814,-1.45778,515.25,0
6.98717,480.35,7.46594,487.462,3.36378,532.931,-2.63274,524.157,0
5.11095,468.566,6.13088,434.557,3.3779,468.311,-1.22676,495.638,0
3.37423,551.699,5.25499,414.984,3.8664,349.133,0.2288,488.581,1
2.91159,543.861,4.98784,412.233,4.12675,348.658,0.896576,480.839,1
9.57073,583.539,9.89728,445.193,4.31892,362.966,-3.76979,507.019,1
4.73135,524.312,5.714,393.927,3.15965,299.23,-1.14862,441.893,1
0.849495,408.934,4.90983,308.896,5.98339,236.36,3.67438,344.411,1
5.36001,466.34,7.14241,442.117,4.53516,496.816,-0.567391,515.809,0
6.47029,504.183,7.45551,495.039,3.83723,556.307,-1.89749,560.743,0
5.88215,502.951,7.93346,486.016,5.04921,553.449,-0.646409,564.349,0
6.60084,452.66,6.14976,452.003,1.93144,516.18,-3.38022,510.416,0
6.20846,416.363,7.02332,411.206,3.47607,443.716,-2.03292,444.094,0
6.47185,451.295,5.67401,451.988,1.41221,500.055,-3.64851,495.816,0
5.74188,470.543,5.9434,462.924,2.48963,533.668,-2.34018,536.303,0
5.00101,363.76,7.38751,340.827,5.19403,396.121,0.108316,414.046,0
5.02235,440.632,4.66643,433.656,1.45974,506.19,-2.51541,506.507,0
