@RELATION Edge_dp_16
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
-0.6351,-2.2809,-5.7915,-2.004,0.5597,-2.3406,-1.4146,1.3268,-1.3742,0.2984,13.5477,-11.9407,11.3417,-7.775,-1.2541,0
0.3146,-0.8807,-2.12,-2.0019,2.6393,-2.1029,-0.4157,3.9273,-3.7479,-0.2279,10.1298,-10.3691,10.6893,-8.1931,0.8072,1
-1.5168,-3.066,-5.9121,-1.9515,0.5114,-1.8228,-1.132,1.4424,-1.4778,0.1986,14.317,-13.0118,12.5479,-7.9056,-1.8754,0
1.1866,0.3912,-1.9814,-1.7196,2.2154,-2.7549,-0.567,2.7153,-3.0298,-0.3532,6.6248,-6.9294,6.7905,-3.0267,0.897,3
-1.2074,-3.0115,-5.9197,-1.961,0.4462,-1.9364,-1.2009,1.3734,-1.3956,0.2649,13.9275,-12.4559,11.9567,-7.8093,-1.5097,0
1.0778,0.1651,-2.1075,-1.8361,2.1571,-2.4715,-0.4247,2.865,-3.257,-0.4352,6.6163,-7.0989,6.8729,-3.2164,0.8759,3
0.8818,0.2197,-2.9573,-1.5996,1.893,-2.9865,-1.4054,2.187,-2.2125,0.4537,12.8388,-11.4917,11.4746,-8.4846,-0.1942,5
-0.7621,-2.3814,-5.8174,-1.9718,0.4729,-2.0232,-1.2718,1.4018,-1.461,0.2604,14.4299,-12.9208,12.5749,-8.6911,-1.7722,0
0.6841,-0.0575,-3.4354,-1.5281,1.2028,-2.6625,-1.3703,2.1381,-1.7372,0.2827,12.6946,-11.9195,11.0351,-7.6113,-0.4137,7
-0.6708,-2.6288,-5.9427,-2.0214,0.5562,-1.9651,-1.2237,1.5366,-1.5679,0.2093,14.6391,-13.27,12.1248,-8.2907,-1.504,0
1.7735,1.1361,-2.4435,-1.5558,1.4791,-2.8981,-0.9687,2.2419,-2.329,-0.4777,4.8706,-5.099,5.1974,-1.6235,0.6115,8
