@RELATION Edge_16
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE class {207,0,154,164,118,172,184,190,203,108,127,152,13,61,155,192,173,37,109,58,125,7,63,186,112,157,168,123,89,174,88,153,117,166,195,94,90,133,151,130,113,150,64,161,126,87,11,17,10,121,171,85,19,177,159,66,65,60,140,95,197,187,12,158,1,92,129,59,180,208,26,175,178,194,181,3,25,62,170,8,185,110,179,160,165,93,107,199,114,169,128,135,14,162,16,134,124,18,206,163,81,132,111,205,188,91,198,5,139,102,84,131,204,9,119,193,202,247,338,346,209,213,353,334,337,254,292,289,336,349,232,294,325,351,347,230,355,216,320,301,282,283,348,297,272,343,212,357,352,385,386,287,332,276,354,340,341,237,211,234,333,242,278,273,335,339,217,330,248,344,256,215,345,329,280,231,350,239,324,285,315,233,286,298,383,293,243,379,295,241,387,288,210,240,259,364,279,214,384,296,291,342,281,300,299,246,274,235,328,356,250,275,380,277,382,321,449,551,498,587,391,553,550,670,585,409,588,545,552,415,482,634,408,405,513,514,671,481,451,584,567,497,484,527,414,548,453,549,445,599,635,448,563,456,389,561,586,480,559,488,582,555,494,577,493,547,442,544,454,420,439,562,598,452,455,546,492,560,583,388,447,390,658,444,443,403,450,393,486,490,496,483,446,392,489,491,542,394,495,458,487}
@DATA
11.6721,10.4053,8.301,4.402,2.9988,3.7982,2.0498,1.2292,3.3338,1.3774,1.6691,19.1405,2.3728,15.2627,6.1196,5.8677,207
15.1572,12.8342,9.5373,4.3489,2.6224,3.4021,1.8364,1.159,2.9967,1.0706,1.2306,14.6213,2.3685,14.6941,6.8796,5.241,0
6.7306,8.7838,10.2353,7.5289,6.0086,7.2746,4.0027,2.5217,4.621,2.8468,2.9216,9.4939,3.5247,9.968,6.8564,6.6815,154
8.1731,8.7892,8.2888,5.8035,3.7185,5.7139,3.7625,3.6024,7.1477,3.4422,3.1415,10.4742,2.9103,11.4699,6.3556,7.2066,164
7.6632,9.4054,10.3879,7.1826,5.674,6.7664,3.9183,2.4746,4.5636,2.7695,2.8207,9.7816,3.7114,9.9943,6.4867,6.3999,118
9.5456,9.8092,8.9478,5.5856,3.7746,5.2236,3.1891,2.7255,5.5273,2.7994,2.631,12.0989,2.6267,12.2878,6.477,6.751,172
9.3906,9.4163,8.286,5.6678,3.4075,5.6042,4.1351,3.8717,7.0187,4.0092,3.5717,10.34,2.7503,10.5969,5.7485,6.1855,184
8.7875,9.1451,8.3794,6.0486,3.9458,6.1717,4.8306,4.5974,7.3975,4.1871,3.6474,9.0978,2.9157,9.2644,5.6339,5.9501,190
7.4465,8.9102,9.4254,6.8243,4.9047,7.7754,3.6404,2.1132,4.2536,1.7118,2.0544,11.8098,3.9425,12.7048,6.2724,6.2105,203
8.4074,9.5266,9.4153,5.8851,4.1783,6.07,2.9796,1.4609,3.5498,1.2453,1.7741,13.7918,3.6977,14.8484,6.637,6.5326,108
16.0269,16.506,11.8158,4.4799,2.5461,2.8124,1.3823,0.7092,2.4196,0.8834,1.1364,13.495,2.269,11.8686,5.6354,6.0138,127
