@RELATION Edge_direction
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE a16 NUMERIC
@ATTRIBUTE a17 NUMERIC
@ATTRIBUTE a18 NUMERIC
@ATTRIBUTE a19 NUMERIC
@ATTRIBUTE a20 NUMERIC
@ATTRIBUTE a21 NUMERIC
@ATTRIBUTE a22 NUMERIC
@ATTRIBUTE a23 NUMERIC
@ATTRIBUTE a24 NUMERIC
@ATTRIBUTE a25 NUMERIC
@ATTRIBUTE a26 NUMERIC
@ATTRIBUTE a27 NUMERIC
@ATTRIBUTE a28 NUMERIC
@ATTRIBUTE a29 NUMERIC
@ATTRIBUTE a30 NUMERIC
@ATTRIBUTE a31 NUMERIC
@ATTRIBUTE a32 NUMERIC
@ATTRIBUTE a33 NUMERIC
@ATTRIBUTE a34 NUMERIC
@ATTRIBUTE a35 NUMERIC
@ATTRIBUTE a36 NUMERIC
@ATTRIBUTE a37 NUMERIC
@ATTRIBUTE a38 NUMERIC
@ATTRIBUTE a39 NUMERIC
@ATTRIBUTE a40 NUMERIC
@ATTRIBUTE a41 NUMERIC
@ATTRIBUTE a42 NUMERIC
@ATTRIBUTE a43 NUMERIC
@ATTRIBUTE a44 NUMERIC
@ATTRIBUTE a45 NUMERIC
@ATTRIBUTE a46 NUMERIC
@ATTRIBUTE a47 NUMERIC
@ATTRIBUTE a48 NUMERIC
@ATTRIBUTE a49 NUMERIC
@ATTRIBUTE a50 NUMERIC
@ATTRIBUTE class {207,0,154,164,118,172,184,190,203,108,127,152,13,61,155,192,173,37,109,58,125,7,63,186,112,157,168,123,89,174,88,153,117,166,195,94,90,133,151,130,113,150,64,161,126,87,11,17,10,121,171,85,19,177,159,66,65,60,140,95,197,187,12,158,1,92,129,59,180,208,26,175,178,194,181,3,25,62,170,8,185,110,179,160,165,93,107,199,114,169,128,135,14,162,16,134,124,18,206,163,81,132,111,205,188,91,198,5,139,102,84,131,204,9,119,193,202,247,338,346,209,213,353,334,337,254,292,289,336,349,232,294,325,351,347,230,355,216,320,301,282,283,348,297,272,343,212,357,352,385,386,287,332,276,354,340,341,237,211,234,333,242,278,273,335,339,217,330,248,344,256,215,345,329,280,231,350,239,324,285,315,233,286,298,383,293,243,379,295,241,387,288,210,240,259,364,279,214,384,296,291,342,281,300,299,246,274,235,328,356,250,275,380,277,382,321,449,551,498,587,391,553,550,670,585,409,588,545,552,415,482,634,408,405,513,514,671,481,451,584,567,497,484,527,414,548,453,549,445,599,635,448,563,456,389,561,586,480,559,488,582,555,494,577,493,547,442,544,454,420,439,562,598,452,455,546,492,560,583,388,447,390,658,444,443,403,450,393,486,490,496,483,446,392,489,491,542,394,495,458,487}
@DATA
15.0621,11.1504,5.5457,11.8064,16.7382,17.1903,7.7546,14.7522,12.5035,10.1677,5.8217,4.0383,5.5761,3.4169,10.8375,5.9045,16.9254,3.7548,12.826,8.2277,11.6721,10.4053,8.301,4.402,2.9988,3.7982,2.0498,1.2292,3.3338,1.3774,1.6691,19.1405,2.3728,15.2627,6.1196,5.8677,-1.2668,-2.1043,-3.899,-1.4032,0.7994,-1.7484,-0.8206,2.1046,-1.9564,0.2917,17.4714,-16.7677,12.8899,-9.1431,-0.2519,207
17.9677,13.3364,6.5335,10.6346,13.5194,13.6819,7.8754,16.4512,16.0988,12.7659,6.5166,4.1259,5.4004,3.3479,7.6834,4.0798,12.1933,3.6973,13.4632,10.6275,15.1572,12.8342,9.5373,4.3489,2.6224,3.4021,1.8364,1.159,2.9967,1.0706,1.2306,14.6213,2.3685,14.6941,6.8796,5.241,-2.323,-3.2969,-5.1884,-1.7265,0.7797,-1.5657,-0.6774,1.8377,-1.9261,0.16,13.3907,-12.2528,12.3256,-7.8145,-1.6386,0
13.7311,15.3663,12.8445,16.2082,15.0159,11.1352,5.1412,10.5576,8.9081,11.4266,9.5367,8.6524,11.2904,6.8918,9.6222,4.4185,8.3264,5.4965,8.5515,6.8788,6.7306,8.7838,10.2353,7.5289,6.0086,7.2746,4.0027,2.5217,4.621,2.8468,2.9216,9.4939,3.5247,9.968,6.8564,6.6815,2.0532,1.4515,-2.7064,-1.5203,1.266,-3.2719,-1.481,2.0993,-1.7742,0.0748,6.5723,-5.9692,6.4433,-3.1116,-0.1749,154
12.4685,11.7622,8.4437,14.3034,18.0598,15.1186,7.6231,12.2206,9.0299,8.8365,7.2183,5.417,8.3955,5.8273,12.374,6.554,10.719,6.0306,10.5722,9.0257,8.1731,8.7892,8.2888,5.8035,3.7185,5.7139,3.7625,3.6024,7.1477,3.4422,3.1415,10.4742,2.9103,11.4699,6.3556,7.2066,0.6161,-0.5004,-2.4853,-2.085,1.9954,-1.9514,-0.1601,3.5453,-3.7055,-0.3007,7.3327,-7.5639,8.5596,-5.1143,0.851,164
14.8629,15.5751,12.3643,14.5943,13.6794,11.1138,6.0028,11.8074,10.1763,12.1137,9.4565,8.0614,10.1679,6.1604,8.3792,4.2291,9.0845,5.4838,9.2709,7.4164,7.6632,9.4054,10.3879,7.1826,5.674,6.7664,3.9183,2.4746,4.5636,2.7695,2.8207,9.7816,3.7114,9.9943,6.4867,6.3999,1.7422,0.9825,-3.2053,-1.5086,1.0924,-2.8481,-1.4437,2.089,-1.7941,0.0512,6.9609,-6.0702,6.2829,-3.5076,-0.0868,118
13.8684,12.0869,7.9336,13.3756,16.952,15.152,7.461,13.1704,10.6102,10.0862,7.1204,5.3879,7.6305,5.1721,11.134,5.7515,12.2491,5.2338,11.08,8.5443,9.5456,9.8092,8.9478,5.5856,3.7746,5.2236,3.1891,2.7255,5.5273,2.7994,2.631,12.0989,2.6267,12.2878,6.477,6.751,0.2636,-0.8614,-3.3622,-1.811,1.449,-2.0345,-0.4636,2.8018,-2.7279,-0.1684,9.4679,-9.4722,9.6611,-5.8108,0.274,172
13.2835,11.7539,8.202,12.5465,16.0674,15.4455,9.2075,13.4936,10.039,9.4378,7.6277,5.2062,7.6707,5.6205,10.746,6.9123,11.5271,5.6237,10.554,9.0351,9.3906,9.4163,8.286,5.6678,3.4075,5.6042,4.1351,3.8717,7.0187,4.0092,3.5717,10.34,2.7503,10.5969,5.7485,6.1855,0.0257,-1.1303,-2.6182,-2.2603,2.1967,-1.4691,-0.2634,3.147,-3.0095,-0.4375,6.7683,-7.5897,7.8466,-4.8484,0.437,184
12.9247,12.3439,9.6032,13.0507,15.5318,14.1907,9.3924,12.9626,9.7151,9.642,8.2223,5.8735,8.3141,6.7019,10.3576,6.6252,10.1073,5.6884,9.9482,8.8045,8.7875,9.1451,8.3794,6.0486,3.9458,6.1717,4.8306,4.5974,7.3975,4.1871,3.6474,9.0978,2.9157,9.2644,5.6339,5.9501,0.3576,-0.7657,-2.3308,-2.1028,2.2259,-1.3411,-0.2332,2.8001,-3.2104,-0.5397,5.4504,-6.1821,6.3487,-3.6305,0.3162,190
12.7694,13.7854,11.0875,17.3929,17.9393,12.4511,4.4783,10.096,8.5179,10.1548,8.3719,7.7153,12.2838,7.7174,13.346,5.0154,7.7546,4.58,8.2632,6.2798,7.4465,8.9102,9.4254,6.8243,4.9047,7.7754,3.6404,2.1132,4.2536,1.7118,2.0544,11.8098,3.9425,12.7048,6.2724,6.2105,1.4637,0.5152,-2.6011,-1.9196,2.8707,-4.135,-1.5272,2.1404,-2.5418,0.3426,9.7554,-7.8673,8.7623,-6.4324,-0.0619,203
13.2898,12.9632,9.4315,16.1189,18.6463,13.7193,4.9452,10.8858,9.9116,10.7485,7.7475,6.5659,10.3533,6.2998,13.1591,4.9221,9.5817,4.5222,9.3912,6.7971,8.4074,9.5266,9.4153,5.8851,4.1783,6.07,2.9796,1.4609,3.5498,1.2453,1.7741,13.7918,3.6977,14.8484,6.637,6.5326,1.1192,-0.1113,-3.5302,-1.7068,1.8917,-3.0904,-1.5187,2.0889,-2.3045,0.5288,12.0177,-10.0941,11.1507,-8.2114,-0.1044,108
