@RELATION GSCM_2
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
121719.0,23595.0,755006.0,127780.0,17693.0,759878.0,119813.0,25748.0,750799.0,127189.0,18418.0,759287.0,0
46701.0,27085.0,769695.0,58641.0,15293.0,781333.0,59467.0,14547.0,781923.0,56372.0,17689.0,779064.0,1
206774.0,38448.0,1319354.0,217260.0,28170.0,1328858.0,201356.0,44182.0,1312089.0,213250.0,32376.0,1324848.0,0
108461.0,65833.0,1780511.0,123750.0,50642.0,1795249.0,125941.0,48509.0,1796930.0,143915.0,30580.0,1815414.0,3
174187.0,32869.0,1042573.0,182274.0,24911.0,1049626.0,168719.0,38511.0,1035122.0,179867.0,27467.0,1047219.0,0
90740.0,56712.0,1608847.0,105411.0,42171.0,1622854.0,105922.0,41711.0,1622785.0,118872.0,28840.0,1636315.0,3
107588.0,37896.0,857026.0,121392.0,24277.0,869816.0,121182.0,24631.0,868639.0,123859.0,21983.0,872283.0,5
180245.0,34954.0,1267904.0,189971.0,25442.0,1276674.0,176194.0,39381.0,1261998.0,187244.0,28364.0,1273947.0,0
119705.0,44283.0,1643769.0,134423.0,29767.0,1657914.0,128081.0,36270.0,1651042.0,135593.0,28795.0,1659084.0,7
136225.0,26594.0,1038861.0,143786.0,19212.0,1045338.0,133985.0,29135.0,1034512.0,141654.0,21523.0,1043206.0,0
105989.0,58372.0,2134879.0,111272.0,53138.0,2139978.0,108695.0,55741.0,2137248.0,139758.0,24716.0,2168464.0,8
84638.0,35712.0,1003345.0,89939.0,30476.0,1008068.0,86005.0,34438.0,1003599.0,101806.0,18686.0,1019935.0,9
164460.0,30985.0,1012630.0,173255.0,22373.0,1020425.0,160284.0,35453.0,1006536.0,169951.0,25833.0,1017121.0,0
