@RELATION GSCM_2
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE class {26,121,62,125,17,58,0,118,59,87,37,109,113,94,90,64,25,60,14,61,110,111,89,63,88,85,1,92,108,84,112,117,65,19,119,16,93,91,107,13,126,114,18,81,102,66,123,95,124,354,342,352,344,334,345,339,347,349,343,355,332,333,341,340,330,350,351,353,337,335,338,294,346,336,383,387,386,384,348,274,382,380,285,329,379,301,364,385,357,239,356,293,198,154,173,152,184,153,205,129,128,168,133,132,179,150,166,7,187,175,169,208,178,161,135,185,130,158,5,162,193,203,151,131,206,197,10,155,199,177,170,159,190,12,160,140,174,139,8,3,180,127,186,172,188,9,194,134,204,181,192,157,195,163,11,165,164,207,202,171,496,415,498,446,454,390,393,453,414,389,491,527,444,449,542,488,486,442,455,403,482,447,484,388,443,497,405,514,391,392,480,448,456,492,458,452,420,490,451,481,487,513,493,445,408,495,483,409,489,450,544,439,394,240,494,231,296,247,213,254,289,282,214,246,248,325,272,212,328,320,288,297,292,209,230,299,215,276,241,232,278,211,300,217,283,256,287,259,277,281,237,286,233,295,234,250,273,216,291,280,210,275,235,242,324,279,298,243,321,315,545,548,634,555,635,562,567,670,588,577,552,549,551,582,553,559,550,563,546,671,584,586,599,547,585,587,561,583,598,658,560}
@DATA
87265.0,32539.0,996516.0,93608.0,26303.0,1002046.0,92161.0,27798.0,999851.0,103975.0,16050.0,1012413.0,26
108834.0,52608.0,2037236.0,124930.0,36584.0,2052658.0,124623.0,36943.0,2051700.0,130388.0,31212.0,2058116.0,121
86788.0,44080.0,1846316.0,94415.0,36579.0,1853973.0,91339.0,39749.0,1850962.0,105288.0,25833.0,1864846.0,62
147842.0,59886.0,2010278.0,164339.0,43751.0,2026393.0,167164.0,41196.0,2028932.0,177549.0,30832.0,2039603.0,125
182415.0,64515.0,1428398.0,197206.0,49845.0,1442718.0,202855.0,44274.0,1447942.0,220499.0,26681.0,1466011.0,17
109975.0,35759.0,1444956.0,122309.0,23510.0,1456347.0,117527.0,28333.0,1450672.0,122734.0,23164.0,1456773.0,58
79949.0,20106.0,647251.0,85679.0,14461.0,651876.0,74670.0,25512.0,639815.0,81689.0,18533.0,647886.0,0
51799.0,19684.0,564328.0,52743.0,18788.0,564277.0,49356.0,22180.0,559944.0,61679.0,9926.0,573213.0,118
117761.0,45383.0,1240123.0,125967.0,37272.0,1247691.0,123419.0,39870.0,1244553.0,140348.0,23002.0,1262072.0,26
94349.0,21780.0,753608.0,99132.0,17033.0,757362.0,86471.0,29671.0,743742.0,95813.0,20459.0,754043.0,0
119863.0,55893.0,1132948.0,135493.0,40340.0,1147838.0,139961.0,35916.0,1151611.0,148971.0,26985.0,1161316.0,59
115118.0,21369.0,688212.0,119693.0,16912.0,691628.0,109034.0,27654.0,679851.0,117612.0,19128.0,689548.0,0
96444.0,24830.0,844378.0,103846.0,17591.0,850806.0,91001.0,30530.0,837068.0,99198.0,22370.0,846158.0,0
44772.0,21854.0,543075.0,47516.0,19220.0,545017.0,46266.0,20527.0,543023.0,56386.0,10457.0,553887.0,87
50984.0,18890.0,819777.0,53755.0,16175.0,821693.0,51500.0,18434.0,818642.0,59391.0,10605.0,827329.0,37
