@RELATION Gabor_Edge
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE a16 NUMERIC
@ATTRIBUTE a17 NUMERIC
@ATTRIBUTE a18 NUMERIC
@ATTRIBUTE a19 NUMERIC
@ATTRIBUTE a20 NUMERIC
@ATTRIBUTE a21 NUMERIC
@ATTRIBUTE a22 NUMERIC
@ATTRIBUTE a23 NUMERIC
@ATTRIBUTE a24 NUMERIC
@ATTRIBUTE a25 NUMERIC
@ATTRIBUTE a26 NUMERIC
@ATTRIBUTE a27 NUMERIC
@ATTRIBUTE a28 NUMERIC
@ATTRIBUTE a29 NUMERIC
@ATTRIBUTE a30 NUMERIC
@ATTRIBUTE a31 NUMERIC
@ATTRIBUTE a32 NUMERIC
@ATTRIBUTE a33 NUMERIC
@ATTRIBUTE a34 NUMERIC
@ATTRIBUTE a35 NUMERIC
@ATTRIBUTE a36 NUMERIC
@ATTRIBUTE a37 NUMERIC
@ATTRIBUTE a38 NUMERIC
@ATTRIBUTE a39 NUMERIC
@ATTRIBUTE a40 NUMERIC
@ATTRIBUTE a41 NUMERIC
@ATTRIBUTE a42 NUMERIC
@ATTRIBUTE a43 NUMERIC
@ATTRIBUTE a44 NUMERIC
@ATTRIBUTE a45 NUMERIC
@ATTRIBUTE a46 NUMERIC
@ATTRIBUTE a47 NUMERIC
@ATTRIBUTE a48 NUMERIC
@ATTRIBUTE a49 NUMERIC
@ATTRIBUTE a50 NUMERIC
@ATTRIBUTE a51 NUMERIC
@ATTRIBUTE a52 NUMERIC
@ATTRIBUTE a53 NUMERIC
@ATTRIBUTE a54 NUMERIC
@ATTRIBUTE a55 NUMERIC
@ATTRIBUTE a56 NUMERIC
@ATTRIBUTE a57 NUMERIC
@ATTRIBUTE a58 NUMERIC
@ATTRIBUTE a59 NUMERIC
@ATTRIBUTE a60 NUMERIC
@ATTRIBUTE a61 NUMERIC
@ATTRIBUTE a62 NUMERIC
@ATTRIBUTE a63 NUMERIC
@ATTRIBUTE a64 NUMERIC
@ATTRIBUTE a65 NUMERIC
@ATTRIBUTE a66 NUMERIC
@ATTRIBUTE a67 NUMERIC
@ATTRIBUTE a68 NUMERIC
@ATTRIBUTE a69 NUMERIC
@ATTRIBUTE a70 NUMERIC
@ATTRIBUTE a71 NUMERIC
@ATTRIBUTE a72 NUMERIC
@ATTRIBUTE a73 NUMERIC
@ATTRIBUTE a74 NUMERIC
@ATTRIBUTE a75 NUMERIC
@ATTRIBUTE a76 NUMERIC
@ATTRIBUTE a77 NUMERIC
@ATTRIBUTE a78 NUMERIC
@ATTRIBUTE a79 NUMERIC
@ATTRIBUTE a80 NUMERIC
@ATTRIBUTE a81 NUMERIC
@ATTRIBUTE a82 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
84.2440053863,29.4327065259,1.71310877733,2.09031918295,84.2440053863,29.4327065259,1.78238679393,2.16967596746,84.2440053863,29.4327065259,0.514955553689,1.03358754063,84.2440053863,29.4327065259,0.523044867234,1.04743710294,84.2440053863,29.4327065259,0.545329813761,1.10436901933,84.2440053863,29.4327065259,0.55265354229,1.11338913821,84.2440053863,29.4327065259,0.490935286577,0.980367730673,84.2440053863,29.4327065259,0.499721945008,0.99857803637,16.7382,13.4772,7.4415,12.3759,15.2727,13.8654,6.3228,14.5064,15.1532,13.5571,7.6018,5.3601,6.8504,3.8984,9.1156,4.1189,11.4544,2.7462,11.2351,8.909,14.4247,13.7896,11.5087,5.7172,3.7132,4.2729,1.9323,0.5177,1.8445,0.4703,0.7687,14.3164,2.3757,13.7174,5.9424,4.6883,-0.6351,-2.2809,-5.7915,-2.004,0.5597,-2.3406,-1.4146,1.3268,-1.3742,0.2984,13.5477,-11.9407,11.3417,-7.775,-1.2541,0
91.4946422568,19.8690085677,1.54099797472,1.68082459524,91.4946422568,19.8690085677,1.67368988795,1.97419921655,91.4946422568,19.8690085677,0.398101937783,0.933324735881,91.4946422568,19.8690085677,0.41115354354,0.970958348554,91.4946422568,19.8690085677,0.418693855164,0.982376333899,91.4946422568,19.8690085677,0.435391976252,1.03033868413,91.4946422568,19.8690085677,0.386239764021,0.907175094771,91.4946422568,19.8690085677,0.393569294986,0.930525020557,11.8369,10.6021,7.1851,13.9081,19.378,16.816,7.84,12.4338,8.8397,8.2081,6.6544,4.7585,7.6542,5.5591,13.4954,7.051,12.8558,5.4431,10.9768,8.5038,7.8409,8.1555,7.2748,5.1548,3.1529,5.7922,3.6893,3.2736,7.2009,3.453,3.2251,13.3549,2.9858,13.6751,5.482,6.2892,0.3146,-0.8807,-2.12,-2.0019,2.6393,-2.1029,-0.4157,3.9273,-3.7479,-0.2279,10.1298,-10.3691,10.6893,-8.1931,0.8072,1
84.6803140757,29.2018841042,1.6077547377,1.8937672499,84.6803140757,29.2018841042,1.82730504654,2.25474138403,84.6803140757,29.2018841042,0.490914459411,0.99093603033,84.6803140757,29.2018841042,0.515067648283,1.05084549046,84.6803140757,29.2018841042,0.512454203317,1.04444917509,84.6803140757,29.2018841042,0.547467151942,1.12575050596,84.6803140757,29.2018841042,0.472572900493,0.951198074953,84.6803140757,29.2018841042,0.488281280099,0.996225019805,17.1344,13.0624,6.5821,11.5114,14.8962,14.3146,7.0384,15.4604,15.8537,13.3016,6.9224,4.5247,5.6866,3.315,8.6843,4.2356,12.4282,2.8307,12.5014,9.7158,15.4288,13.912,10.846,4.9339,2.9824,3.4938,1.671,0.539,1.9814,0.5036,0.7022,15.0192,2.0074,14.5553,6.6497,4.7743,-1.5168,-3.066,-5.9121,-1.9515,0.5114,-1.8228,-1.132,1.4424,-1.4778,0.1986,14.317,-13.0118,12.5479,-7.9056,-1.8754,0
91.3698145052,19.1165723042,2.18458152944,3.06731686671,91.3698145052,19.1165723042,1.46360957766,1.6222738559,91.3698145052,19.1165723042,0.549162110593,1.25274270542,91.3698145052,19.1165723042,0.494443847661,1.06791577254,91.3698145052,19.1165723042,0.600839188484,1.37888353036,91.3698145052,19.1165723042,0.506501500634,1.10402390431,91.3698145052,19.1165723042,0.507765662076,1.14718761834,91.3698145052,19.1165723042,0.484037731217,1.04442089879,12.6352,13.6299,11.1465,15.9526,16.1983,12.5959,6.519,11.3225,8.146,9.2504,8.0842,7.1562,10.4532,7.0784,10.9189,5.3201,9.2935,6.344,9.773,8.1822,7.024,8.2106,8.6018,6.6204,4.9008,7.1162,4.3613,3.7943,6.5096,3.4798,3.1266,9.7514,2.822,9.6125,6.5858,7.4828,1.1866,0.3912,-1.9814,-1.7196,2.2154,-2.7549,-0.567,2.7153,-3.0298,-0.3532,6.6248,-6.9294,6.7905,-3.0267,0.897,3
83.8361549739,29.5722900883,1.69076726111,2.01491119101,83.8361549739,29.5722900883,1.85917930303,2.27085637723,83.8361549739,29.5722900883,0.530055281511,1.03776182255,83.8361549739,29.5722900883,0.546303487141,1.07106482843,83.8361549739,29.5722900883,0.553427598972,1.09534902375,83.8361549739,29.5722900883,0.579420687331,1.14605049862,83.8361549739,29.5722900883,0.510831246593,0.993975275477,83.8361549739,29.5722900883,0.519258272551,1.0164304232,17.3133,13.4076,6.9226,11.669,14.7856,13.9338,6.732,15.2361,15.9968,13.7124,7.2409,4.7951,5.9466,3.3679,8.4945,4.0473,11.9521,2.8133,11.9584,9.6746,15.2913,14.0839,11.0724,5.1527,3.1917,3.6379,1.7015,0.5006,1.874,0.4784,0.7433,14.6708,2.2149,14.1716,6.3623,4.8526,-1.2074,-3.0115,-5.9197,-1.961,0.4462,-1.9364,-1.2009,1.3734,-1.3956,0.2649,13.9275,-12.4559,11.9567,-7.8093,-1.5097,0
91.8532766626,18.4906075721,2.04863467721,2.88878518522,91.8532766626,18.4906075721,1.51118383541,1.77571791842,91.8532766626,18.4906075721,0.510802260349,1.19750158539,91.8532766626,18.4906075721,0.467764694789,1.05135379158,91.8532766626,18.4906075721,0.554931665192,1.31215301141,91.8532766626,18.4906075721,0.48429462229,1.1011390579,91.8532766626,18.4906075721,0.475639427682,1.1029029075,91.8532766626,18.4906075721,0.456236713659,1.02105183886,12.6687,13.2673,10.5695,15.3522,16.2799,13.0752,7.0524,11.7347,8.4719,9.1858,7.9688,6.7638,9.9469,6.8489,10.9888,5.5673,9.6082,6.256,9.942,8.4516,7.4065,8.4843,8.6494,6.5419,4.7058,6.8629,4.3914,3.9667,6.8317,3.5747,3.1395,9.7558,2.6569,9.5298,6.3134,7.1893,1.0778,0.1651,-2.1075,-1.8361,2.1571,-2.4715,-0.4247,2.865,-3.257,-0.4352,6.6163,-7.0989,6.8729,-3.2164,0.8759,3
85.9890450379,26.6170156846,1.91619491135,2.36318970002,85.9890450379,26.6170156846,1.75077909946,2.05497189886,85.9890450379,26.6170156846,0.575221562015,1.14200918582,85.9890450379,26.6170156846,0.558702395316,1.09409635613,85.9890450379,26.6170156846,0.606300714462,1.21003520687,85.9890450379,26.6170156846,0.580131359426,1.14205837679,85.9890450379,26.6170156846,0.549992748862,1.09082201865,85.9890450379,26.6170156846,0.537090657597,1.05090730045,12.7965,12.1097,8.6322,15.3749,18.6272,14.9726,5.9045,11.5825,9.1914,9.6228,7.2492,6.1888,9.6474,5.9823,13.0072,5.2833,11.7495,4.7641,10.5829,6.7309,7.6756,8.5574,8.7771,5.8198,4.2202,6.1132,3.1267,1.7213,3.9083,1.6958,2.1495,14.9883,3.4966,14.9712,6.4866,6.2924,0.8818,0.2197,-2.9573,-1.5996,1.893,-2.9865,-1.4054,2.187,-2.2125,0.4537,12.8388,-11.4917,11.4746,-8.4846,-0.1942,5
85.8059221552,28.2571313244,1.60820762544,1.93812172686,85.8059221552,28.2571313244,1.7789763255,2.22550021606,85.8059221552,28.2571313244,0.473346133388,0.993907880936,85.8059221552,28.2571313244,0.496240452257,1.04699622047,85.8059221552,28.2571313244,0.49405403082,1.04844816321,85.8059221552,28.2571313244,0.527157408236,1.12083865809,85.8059221552,28.2571313244,0.456813029819,0.95423578705,85.8059221552,28.2571313244,0.472846039399,0.996262770887,16.8526,13.2346,7.0192,11.8438,14.9203,14.1896,6.8027,15.1372,15.1994,13.2644,7.3025,4.9564,6.1551,3.5144,8.7215,4.2184,12.3913,2.9572,12.2806,9.0389,14.3093,13.5472,11.1658,5.3484,3.3766,3.8495,1.8263,0.5545,1.9563,0.4953,0.7557,15.1856,2.2648,14.8397,6.1486,4.3764,-0.7621,-2.3814,-5.8174,-1.9718,0.4729,-2.0232,-1.2718,1.4018,-1.461,0.2604,14.4299,-12.9208,12.5749,-8.6911,-1.7722,0
91.1275627678,21.2892215723,1.62339659008,2.07226297757,91.1275627678,21.2892215723,1.55691133478,1.85958945062,91.1275627678,21.2892215723,0.427501926212,1.04985932628,91.1275627678,21.2892215723,0.398285872267,0.96652030523,91.1275627678,21.2892215723,0.447878783673,1.10409039455,91.1275627678,21.2892215723,0.410151954037,1.0025604608,91.1275627678,21.2892215723,0.411032742391,1.01033697246,91.1275627678,21.2892215723,0.38790136497,0.936012836197,14.1398,12.5539,8.2088,13.7751,16.8571,14.9572,6.5309,12.9771,10.6142,10.6486,7.4102,6.0128,8.185,4.8806,10.6483,4.9234,13.0261,4.7992,11.3119,7.5396,8.7102,9.3943,9.3368,5.9014,4.3733,5.5761,2.9136,1.5433,3.6814,1.9442,2.2269,14.9215,3.002,14.0371,6.4258,6.0121,0.6841,-0.0575,-3.4354,-1.5281,1.2028,-2.6625,-1.3703,2.1381,-1.7372,0.2827,12.6946,-11.9195,11.0351,-7.6113,-0.4137,7
86.7175208991,27.6094080989,1.55527070123,1.84924811607,86.7175208991,27.6094080989,1.70788340484,2.11119613508,86.7175208991,27.6094080989,0.434967629654,0.954393288353,86.7175208991,27.6094080989,0.448671876796,0.992814027558,86.7175208991,27.6094080989,0.454215027587,1.00471117054,86.7175208991,27.6094080989,0.47764940054,1.06339867974,86.7175208991,27.6094080989,0.420243403231,0.917884983803,86.7175208991,27.6094080989,0.427932803152,0.945186524864,16.7077,13.0901,6.9153,11.8667,15.1957,14.443,6.8103,14.9712,15.1416,13.3049,7.2787,4.8241,6.0281,3.4558,8.9886,4.3226,12.6745,2.8764,12.0238,9.0809,14.4966,13.8258,11.197,5.2543,3.2329,3.7891,1.824,0.6003,2.1369,0.569,0.7783,15.4174,2.1474,14.2722,5.9815,4.4775,-0.6708,-2.6288,-5.9427,-2.0214,0.5562,-1.9651,-1.2237,1.5366,-1.5679,0.2093,14.6391,-13.27,12.1248,-8.2907,-1.504,0
