@RELATION Gabor_GSCM
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE a8 NUMERIC
@ATTRIBUTE a9 NUMERIC
@ATTRIBUTE a10 NUMERIC
@ATTRIBUTE a11 NUMERIC
@ATTRIBUTE a12 NUMERIC
@ATTRIBUTE a13 NUMERIC
@ATTRIBUTE a14 NUMERIC
@ATTRIBUTE a15 NUMERIC
@ATTRIBUTE a16 NUMERIC
@ATTRIBUTE a17 NUMERIC
@ATTRIBUTE a18 NUMERIC
@ATTRIBUTE a19 NUMERIC
@ATTRIBUTE a20 NUMERIC
@ATTRIBUTE a21 NUMERIC
@ATTRIBUTE a22 NUMERIC
@ATTRIBUTE a23 NUMERIC
@ATTRIBUTE a24 NUMERIC
@ATTRIBUTE a25 NUMERIC
@ATTRIBUTE a26 NUMERIC
@ATTRIBUTE a27 NUMERIC
@ATTRIBUTE a28 NUMERIC
@ATTRIBUTE a29 NUMERIC
@ATTRIBUTE a30 NUMERIC
@ATTRIBUTE a31 NUMERIC
@ATTRIBUTE a32 NUMERIC
@ATTRIBUTE a33 NUMERIC
@ATTRIBUTE a34 NUMERIC
@ATTRIBUTE a35 NUMERIC
@ATTRIBUTE a36 NUMERIC
@ATTRIBUTE a37 NUMERIC
@ATTRIBUTE a38 NUMERIC
@ATTRIBUTE a39 NUMERIC
@ATTRIBUTE a40 NUMERIC
@ATTRIBUTE a41 NUMERIC
@ATTRIBUTE a42 NUMERIC
@ATTRIBUTE a43 NUMERIC
@ATTRIBUTE a44 NUMERIC
@ATTRIBUTE a45 NUMERIC
@ATTRIBUTE a46 NUMERIC
@ATTRIBUTE a47 NUMERIC
@ATTRIBUTE a48 NUMERIC
@ATTRIBUTE a49 NUMERIC
@ATTRIBUTE a50 NUMERIC
@ATTRIBUTE a51 NUMERIC
@ATTRIBUTE a52 NUMERIC
@ATTRIBUTE a53 NUMERIC
@ATTRIBUTE a54 NUMERIC
@ATTRIBUTE a55 NUMERIC
@ATTRIBUTE a56 NUMERIC
@ATTRIBUTE a57 NUMERIC
@ATTRIBUTE a58 NUMERIC
@ATTRIBUTE a59 NUMERIC
@ATTRIBUTE a60 NUMERIC
@ATTRIBUTE a61 NUMERIC
@ATTRIBUTE a62 NUMERIC
@ATTRIBUTE a63 NUMERIC
@ATTRIBUTE a64 NUMERIC
@ATTRIBUTE a65 NUMERIC
@ATTRIBUTE a66 NUMERIC
@ATTRIBUTE a67 NUMERIC
@ATTRIBUTE a68 NUMERIC
@ATTRIBUTE a69 NUMERIC
@ATTRIBUTE a70 NUMERIC
@ATTRIBUTE a71 NUMERIC
@ATTRIBUTE a72 NUMERIC
@ATTRIBUTE a73 NUMERIC
@ATTRIBUTE a74 NUMERIC
@ATTRIBUTE a75 NUMERIC
@ATTRIBUTE a76 NUMERIC
@ATTRIBUTE a77 NUMERIC
@ATTRIBUTE a78 NUMERIC
@ATTRIBUTE a79 NUMERIC
@ATTRIBUTE a80 NUMERIC
@ATTRIBUTE a81 NUMERIC
@ATTRIBUTE a82 NUMERIC
@ATTRIBUTE a83 NUMERIC
@ATTRIBUTE a84 NUMERIC
@ATTRIBUTE a85 NUMERIC
@ATTRIBUTE a86 NUMERIC
@ATTRIBUTE a87 NUMERIC
@ATTRIBUTE a88 NUMERIC
@ATTRIBUTE a89 NUMERIC
@ATTRIBUTE a90 NUMERIC
@ATTRIBUTE a91 NUMERIC
@ATTRIBUTE class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}
@DATA
84.2440053863,29.4327065259,1.71310877733,2.09031918295,84.2440053863,29.4327065259,1.78238679393,2.16967596746,84.2440053863,29.4327065259,0.514955553689,1.03358754063,84.2440053863,29.4327065259,0.523044867234,1.04743710294,84.2440053863,29.4327065259,0.545329813761,1.10436901933,84.2440053863,29.4327065259,0.55265354229,1.11338913821,84.2440053863,29.4327065259,0.490935286577,0.980367730673,84.2440053863,29.4327065259,0.499721945008,0.99857803637,133453.0,12044.0,767125.0,127780.0,17693.0,759878.0,132603.0,13008.0,765136.0,127189.0,18418.0,759287.0,121719.0,23595.0,755006.0,127780.0,17693.0,759878.0,119813.0,25748.0,750799.0,127189.0,18418.0,759287.0,110420.0,34683.0,743352.0,110557.0,34683.0,740726.0,107215.0,38276.0,736675.0,109321.0,36226.0,739490.0,99548.0,45334.0,732135.0,94020.0,50939.0,722313.0,94841.0,50561.0,722796.0,91983.0,53482.0,720276.0,89099.0,55563.0,721340.0,78720.0,65932.0,705167.0,82733.0,62546.0,709217.0,75174.0,70190.0,701624.0,0
91.4946422568,19.8690085677,1.54099797472,1.68082459524,91.4946422568,19.8690085677,1.67368988795,1.97419921655,91.4946422568,19.8690085677,0.398101937783,0.933324735881,91.4946422568,19.8690085677,0.41115354354,0.970958348554,91.4946422568,19.8690085677,0.418693855164,0.982376333899,91.4946422568,19.8690085677,0.435391976252,1.03033868413,91.4946422568,19.8690085677,0.386239764021,0.907175094771,91.4946422568,19.8690085677,0.393569294986,0.930525020557,59771.0,14194.0,783442.0,58641.0,15293.0,781333.0,66310.0,7751.0,789732.0,56372.0,17689.0,779064.0,46701.0,27085.0,769695.0,58641.0,15293.0,781333.0,59467.0,14547.0,781923.0,56372.0,17689.0,779064.0,35085.0,38528.0,757396.0,44813.0,28895.0,765865.0,53069.0,20892.0,774566.0,40430.0,33582.0,761482.0,25678.0,47785.0,747283.0,32826.0,40657.0,752240.0,47269.0,26635.0,767808.0,27010.0,46947.0,746425.0,19756.0,53577.0,740635.0,23960.0,49320.0,741713.0,42314.0,31532.0,761898.0,18481.0,55417.0,736239.0,1
84.6803140757,29.2018841042,1.6077547377,1.8937672499,84.6803140757,29.2018841042,1.82730504654,2.25474138403,84.6803140757,29.2018841042,0.490914459411,0.99093603033,84.6803140757,29.2018841042,0.515067648283,1.05084549046,84.6803140757,29.2018841042,0.512454203317,1.04444917509,84.6803140757,29.2018841042,0.547467151942,1.12575050596,84.6803140757,29.2018841042,0.472572900493,0.951198074953,84.6803140757,29.2018841042,0.488281280099,0.996225019805,225813.0,19664.0,1339068.0,217260.0,28170.0,1328858.0,223329.0,22299.0,1335667.0,213250.0,32376.0,1324848.0,206774.0,38448.0,1319354.0,217260.0,28170.0,1328858.0,201356.0,44182.0,1312089.0,213250.0,32376.0,1324848.0,188490.0,56437.0,1300439.0,189865.0,55220.0,1299186.0,179795.0,65602.0,1288977.0,181845.0,63680.0,1291166.0,170794.0,73808.0,1282143.0,163576.0,81076.0,1270717.0,158622.0,86607.0,1266282.0,151572.0,93797.0,1258716.0,153730.0,90535.0,1264494.0,139282.0,104883.0,1244302.0,138087.0,106955.0,1244247.0,122398.0,122787.0,1227424.0,0
91.3698145052,19.1165723042,2.18458152944,3.06731686671,91.3698145052,19.1165723042,1.46360957766,1.6222738559,91.3698145052,19.1165723042,0.549162110593,1.25274270542,91.3698145052,19.1165723042,0.494443847661,1.06791577254,91.3698145052,19.1165723042,0.600839188484,1.37888353036,91.3698145052,19.1165723042,0.506501500634,1.10402390431,91.3698145052,19.1165723042,0.507765662076,1.14718761834,91.3698145052,19.1165723042,0.484037731217,1.04442089879,140666.0,33749.0,1813804.0,123750.0,50642.0,1795249.0,149603.0,24893.0,1822209.0,143915.0,30580.0,1815414.0,108461.0,65833.0,1780511.0,123750.0,50642.0,1795249.0,125941.0,48509.0,1796930.0,143915.0,30580.0,1815414.0,78515.0,95658.0,1749479.0,77096.0,97129.0,1745893.0,103634.0,70768.0,1773010.0,115860.0,58585.0,1784657.0,53685.0,120382.0,1723549.0,43976.0,130080.0,1710079.0,84117.0,90225.0,1751893.0,91352.0,83039.0,1757455.0,39657.0,134316.0,1708408.0,32228.0,141662.0,1695638.0,70267.0,104000.0,1736457.0,73778.0,100546.0,1737188.0,3
83.8361549739,29.5722900883,1.69076726111,2.01491119101,83.8361549739,29.5722900883,1.85917930303,2.27085637723,83.8361549739,29.5722900883,0.530055281511,1.03776182255,83.8361549739,29.5722900883,0.546303487141,1.07106482843,83.8361549739,29.5722900883,0.553427598972,1.09534902375,83.8361549739,29.5722900883,0.579420687331,1.14605049862,83.8361549739,29.5722900883,0.510831246593,0.993975275477,83.8361549739,29.5722900883,0.519258272551,1.0164304232,190440.0,16797.0,1059407.0,182274.0,24911.0,1049626.0,187890.0,19449.0,1055852.0,179867.0,27467.0,1047219.0,174187.0,32869.0,1042573.0,182274.0,24911.0,1049626.0,168719.0,38511.0,1035122.0,179867.0,27467.0,1047219.0,158546.0,48312.0,1026369.0,158020.0,48875.0,1023235.0,149867.0,57219.0,1014759.0,153183.0,54034.0,1018398.0,143417.0,63221.0,1010699.0,134685.0,71868.0,997831.0,131356.0,75546.0,994785.0,127343.0,79721.0,990489.0,128815.0,77574.0,995586.0,113212.0,92937.0,974361.0,113513.0,93183.0,975503.0,102425.0,104446.0,963574.0,0
91.8532766626,18.4906075721,2.04863467721,2.88878518522,91.8532766626,18.4906075721,1.51118383541,1.77571791842,91.8532766626,18.4906075721,0.510802260349,1.19750158539,91.8532766626,18.4906075721,0.467764694789,1.05135379158,91.8532766626,18.4906075721,0.554931665192,1.31215301141,91.8532766626,18.4906075721,0.48429462229,1.1011390579,91.8532766626,18.4906075721,0.475639427682,1.1029029075,91.8532766626,18.4906075721,0.456236713659,1.02105183886,118547.0,29070.0,1637593.0,105411.0,42171.0,1622854.0,126253.0,21459.0,1644670.0,118872.0,28840.0,1636315.0,90740.0,56712.0,1608847.0,105411.0,42171.0,1622854.0,105922.0,41711.0,1622785.0,118872.0,28840.0,1636315.0,65166.0,82110.0,1582348.0,66358.0,80980.0,1581311.0,86916.0,60615.0,1602251.0,92413.0,55219.0,1607366.0,44693.0,102441.0,1560917.0,39077.0,107983.0,1551582.0,70835.0,76563.0,1584676.0,70122.0,77404.0,1582627.0,34083.0,112926.0,1549332.0,28947.0,117838.0,1539007.0,59944.0,87319.0,1572292.0,55259.0,92129.0,1565319.0,3
85.9890450379,26.6170156846,1.91619491135,2.36318970002,85.9890450379,26.6170156846,1.75077909946,2.05497189886,85.9890450379,26.6170156846,0.575221562015,1.14200918582,85.9890450379,26.6170156846,0.558702395316,1.09409635613,85.9890450379,26.6170156846,0.606300714462,1.21003520687,85.9890450379,26.6170156846,0.580131359426,1.14205837679,85.9890450379,26.6170156846,0.549992748862,1.09082201865,85.9890450379,26.6170156846,0.537090657597,1.05090730045,126140.0,19549.0,876049.0,121392.0,24277.0,869816.0,133216.0,12637.0,882136.0,123859.0,21983.0,872283.0,107588.0,37896.0,857026.0,121392.0,24277.0,869816.0,121182.0,24631.0,868639.0,123859.0,21983.0,872283.0,90184.0,55084.0,839176.0,98524.0,46900.0,845017.0,109467.0,36286.0,855484.0,103463.0,42323.0,849956.0,74018.0,71047.0,822556.0,77418.0,67730.0,822030.0,98076.0,47606.0,842670.0,84474.0,61222.0,829086.0,59841.0,85029.0,807913.0,60939.0,83935.0,803681.0,87125.0,58480.0,830304.0,67874.0,77716.0,810616.0,5
85.8059221552,28.2571313244,1.60820762544,1.93812172686,85.8059221552,28.2571313244,1.7789763255,2.22550021606,85.8059221552,28.2571313244,0.473346133388,0.993907880936,85.8059221552,28.2571313244,0.496240452257,1.04699622047,85.8059221552,28.2571313244,0.49405403082,1.04844816321,85.8059221552,28.2571313244,0.527157408236,1.12083865809,85.8059221552,28.2571313244,0.456813029819,0.95423578705,85.8059221552,28.2571313244,0.472846039399,0.996262770887,197558.0,17873.0,1285893.0,189971.0,25442.0,1276674.0,195761.0,19849.0,1283176.0,187244.0,28364.0,1273947.0,180245.0,34954.0,1267904.0,189971.0,25442.0,1276674.0,176194.0,39381.0,1261998.0,187244.0,28364.0,1273947.0,163576.0,51363.0,1250587.0,165266.0,49880.0,1249685.0,156953.0,58578.0,1241160.0,159739.0,55830.0,1244158.0,147544.0,67113.0,1233929.0,141506.0,73336.0,1223685.0,138008.0,77475.0,1220626.0,133101.0,82420.0,1215280.0,132098.0,82259.0,1217877.0,119735.0,94777.0,1199706.0,119643.0,95787.0,1200679.0,107395.0,108074.0,1187366.0,0
91.1275627678,21.2892215723,1.62339659008,2.07226297757,91.1275627678,21.2892215723,1.55691133478,1.85958945062,91.1275627678,21.2892215723,0.427501926212,1.04985932628,91.1275627678,21.2892215723,0.398285872267,0.96652030523,91.1275627678,21.2892215723,0.447878783673,1.10409039455,91.1275627678,21.2892215723,0.410151954037,1.0025604608,91.1275627678,21.2892215723,0.411032742391,1.01033697246,91.1275627678,21.2892215723,0.38790136497,0.936012836197,141408.0,22808.0,1666429.0,134423.0,29767.0,1657914.0,145902.0,18488.0,1670379.0,135593.0,28795.0,1659084.0,119705.0,44283.0,1643769.0,134423.0,29767.0,1657914.0,128081.0,36270.0,1651042.0,135593.0,28795.0,1659084.0,99150.0,64597.0,1622271.0,106317.0,57606.0,1627338.0,110801.0,53501.0,1632256.0,108532.0,55813.0,1629553.0,79918.0,83600.0,1602084.0,80679.0,82954.0,1599256.0,94135.0,70113.0,1614091.0,83017.0,81274.0,1601594.0,63021.0,100275.0,1584225.0,62450.0,100900.0,1578580.0,79032.0,85153.0,1597497.0,61576.0,102656.0,1577706.0,7
86.7175208991,27.6094080989,1.55527070123,1.84924811607,86.7175208991,27.6094080989,1.70788340484,2.11119613508,86.7175208991,27.6094080989,0.434967629654,0.954393288353,86.7175208991,27.6094080989,0.448671876796,0.992814027558,86.7175208991,27.6094080989,0.454215027587,1.00471117054,86.7175208991,27.6094080989,0.47764940054,1.06339867974,86.7175208991,27.6094080989,0.420243403231,0.917884983803,86.7175208991,27.6094080989,0.427932803152,0.945186524864,149430.0,13604.0,1052591.0,143786.0,19212.0,1045338.0,148476.0,14704.0,1050588.0,141654.0,21523.0,1043206.0,136225.0,26594.0,1038861.0,143786.0,19212.0,1045338.0,133985.0,29135.0,1034512.0,141654.0,21523.0,1043206.0,123578.0,39002.0,1025714.0,125104.0,37619.0,1024549.0,119721.0,43323.0,1018682.0,120799.0,42312.0,1020244.0,111469.0,50861.0,1013117.0,107290.0,55118.0,1004674.0,105760.0,57197.0,1003172.0,100718.0,62310.0,998102.0,99827.0,62242.0,1001000.0,91035.0,71036.0,986389.0,92325.0,70519.0,988227.0,81491.0,81442.0,976845.0,0
