@relation Gabor_Edge_LDA

@attribute a0 numeric
@attribute a1 numeric
@attribute a2 numeric
@attribute a3 numeric
@attribute a4 numeric
@attribute a5 numeric
@attribute a6 numeric
@attribute a7 numeric
@attribute a8 numeric
@attribute a9 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute a48 numeric
@attribute a49 numeric
@attribute a50 numeric
@attribute a51 numeric
@attribute class {0,1,3,5,7,8,9,10,11,12,13,14,16,17,18,19,25,26,37,58,59,60,61,62,63,64,65,66,81,84,85,87,88,89,90,91,92,93,94,95,102,107,108,109,110,111,112,113,114,117,118,119,121,123,124,125,126,127,128,129,130,131,132,133,134,135,139,140,150,151,152,153,154,155,157,158,159,160,161,162,163,164,165,166,168,169,170,171,172,173,174,175,177,178,179,180,181,184,185,186,187,188,190,192,193,194,195,197,198,199,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,230,231,232,233,234,235,237,239,240,241,242,243,246,247,248,250,254,256,259,272,273,274,275,276,277,278,279,280,281,282,283,285,286,287,288,289,291,292,293,294,295,296,297,298,299,300,301,315,320,321,324,325,328,329,330,332,333,334,336,337,338,339,340,341,342,343,344,345,346,347,348,335,349,350,351,352,353,354,355,356,357,364,379,380,382,383,384,385,386,387,388,389,390,391,392,393,394,403,405,408,409,414,415,420,439,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,458,480,481,482,483,484,486,487,488,489,490,491,492,493,494,495,496,497,498,513,514,527,542,544,545,546,547,548,549,550,551,552,553,555,559,560,561,562,563,567,577,582,583,584,585,586,587,588,598,599,634,635,658,670,671}

@data
-10.391902,-10.288367,6.739641,-2.69868,-0.20281,6.258779,0.297027,-0.043278,1.064625,-0.65888,0.287073,1.339735,-0.120563,-1.989488,-1.461452,-1.103851,0.187525,3.233681,-2.724858,1.811677,-0.162765,1.556377,1.341849,-0.975465,-1.803126,1.296641,1.753639,-0.826983,-1.107701,-0.702382,1.787274,-1.23719,-0.835923,-1.047107,0.207881,-1.107501,1.485961,-0.98502,1.15484,0.174451,-1.171361,0.005582,-0.902624,-0.694699,0.107406,1.783897,-1.938522,-0.690324,-0.156084,0.265118,4.064295,-0.516774,0
-3.108808,3.832323,-1.28734,6.168842,3.913733,-5.929872,12.145889,5.070058,2.783708,-1.262601,-3.321206,1.612494,-1.929132,2.750053,1.902048,0.835037,-3.904728,0.623516,8.609891,2.560644,5.526755,-0.571231,3.425869,0.984785,-2.202606,3.417361,-5.31647,-5.037761,3.374613,-2.746988,2.175431,0.756721,0.274981,-1.998422,-6.459737,-0.530976,-2.439158,0.308032,-1.871787,-0.03896,3.617981,0.258368,-0.061894,0.760918,1.047117,0.343835,-1.3917,-1.363161,1.108035,-1.405556,0.36493,-0.372169,1
-11.784833,-11.138933,7.387352,-3.752588,1.084947,9.092769,0.789873,0.90361,3.428581,-1.637844,0.8785,0.81194,-0.868491,-0.138895,-3.075067,-0.106374,0.285937,1.780253,0.567085,1.582136,-1.217102,2.613067,-0.339481,-2.298265,-0.842281,0.267908,1.515709,-1.293263,-1.865945,-0.216361,0.313835,-0.296939,0.140112,-0.009577,-1.142151,2.69844,-0.610378,-0.535799,2.004908,-0.450826,-0.313923,-0.707266,-2.690466,0.147036,-0.23167,1.263116,1.091032,0.597391,-2.339161,1.235723,2.03103,-0.336346,0
2.657078,6.596392,3.199265,-0.873519,-5.06874,0.618616,-3.924044,-2.860302,-0.78079,2.060985,5.93647,3.598341,1.952064,-4.649704,-2.231618,0.922537,-3.013101,-2.714343,0.016064,1.506694,-0.442776,-4.126827,2.194555,-1.710054,0.981287,-1.762103,0.213884,0.777074,-0.091462,1.552297,-2.71248,-2.256633,0.802255,3.130825,-2.663817,1.158743,2.583839,1.210117,-0.043232,-1.90846,-1.515629,-0.984939,-0.176991,0.578766,-0.303303,1.789438,-0.924858,0.425663,-0.670514,-0.065756,-0.860583,-0.774475,3
-12.560706,-10.89956,6.236938,-4.2613,0.176014,6.491532,0.906925,-0.884387,1.520851,-0.766652,1.023889,0.695026,0.471285,-1.288407,-2.151577,-1.140319,-2.156288,2.618595,0.028658,1.587734,-0.449052,2.321739,0.484941,-1.51485,-1.518671,-0.876805,1.249859,-0.767788,-1.057853,-1.043296,1.322533,-0.093717,0.724689,-0.99645,-1.016162,0.721594,0.895343,-0.821308,-0.041897,-0.141566,-1.518123,-0.59911,-0.868586,-0.183176,-0.865902,2.4181,1.34012,1.782849,-2.370857,-0.804428,2.656688,-1.217939,0
0.272024,7.452563,1.486319,0.446827,-2.627682,1.177514,-4.604433,-3.197632,-0.897568,0.574414,6.258045,4.07282,0.721795,-4.172039,-3.017846,2.023089,-3.742304,0.036503,-1.302402,0.20765,0.523875,-3.53284,1.931394,-0.723329,0.32135,-1.879807,0.23349,0.250537,-1.752474,1.632351,-2.632266,-1.572577,0.198547,0.970687,-1.122509,-0.379447,3.231007,1.285932,-0.395985,-1.976028,-1.257822,-1.890336,-2.065652,2.11512,-0.491208,1.912094,-0.434316,0.877398,0.501404,-0.975298,0.102023,0.074741,3
-2.674378,0.425729,3.121935,4.0663,-1.734219,0.640001,1.734793,5.236542,2.918469,1.609958,-2.486175,2.565596,0.583944,4.488459,-0.733206,0.692687,0.782394,0.583392,-4.353291,0.303802,3.50331,-0.456771,-1.218207,-0.068571,1.688787,2.985211,1.14005,0.636048,0.814545,0.019205,-0.140912,0.869411,2.118403,1.909861,0.03036,0.0201,1.885548,3.002291,-1.312031,0.398327,0.105705,-0.273319,1.403552,-0.456945,0.206724,2.747372,0.988929,-0.008559,-1.16064,-0.926131,-0.103914,0.151898,5
-10.464641,-9.83308,8.56851,-4.071299,1.120664,10.657423,1.759439,0.144825,1.311464,-1.548192,0.802988,1.619541,-1.417785,0.525853,-1.285924,2.02959,-0.264022,1.837654,-0.459275,0.929143,-1.171319,0.722467,0.628659,-0.71879,-0.121946,-2.420673,-0.59437,-0.477014,-0.28995,0.503002,0.174739,1.305401,-1.064923,0.459754,-0.5192,0.646464,-0.225017,-0.525602,0.241344,-0.70212,-1.185395,-0.091938,-0.263144,1.450208,-1.257818,-0.90894,0.056692,0.427873,-2.320127,2.11776,2.705966,-0.419616,0
-7.401847,-5.602553,4.127845,-0.66007,0.956858,-0.612487,-1.508127,1.337545,1.396574,-1.115892,0.726065,2.358458,7.555592,3.684578,1.142176,4.406136,2.211339,-2.021756,-2.682278,3.088208,1.5821,0.033335,-0.687475,2.733543,1.721919,5.918444,-2.254958,-0.973056,1.525703,0.299147,-1.332443,1.210334,-1.321546,2.422522,0.565224,-0.248487,0.257493,-0.533758,-1.926898,-0.998794,-0.524826,-0.348083,0.912092,-1.669727,0.782427,1.387169,-0.403035,-0.325699,1.527382,-0.91696,0.005168,-0.16833,7
-10.915993,-9.771123,6.071989,-2.8443,1.425731,7.846601,0.650139,0.691092,1.699178,-0.529965,-1.881173,1.076631,-0.029416,-0.06706,-2.391894,2.960168,0.163514,2.12201,-0.365738,1.055639,-1.042802,-1.310381,-0.337248,-1.974641,-0.131285,0.000107,-0.181029,-1.050916,1.264396,1.785453,1.206247,0.217806,-2.44603,1.298987,1.263851,0.873702,-1.887026,0.338557,1.114168,-0.934134,-1.050087,0.064237,-3.038494,0.145388,-0.854778,0.632567,-1.156015,1.627527,-1.529962,0.34471,2.778722,1.422171,0
