@RELATION Gabor_4
@ATTRIBUTE a0 NUMERIC
@ATTRIBUTE a1 NUMERIC
@ATTRIBUTE a2 NUMERIC
@ATTRIBUTE a3 NUMERIC
@ATTRIBUTE a4 NUMERIC
@ATTRIBUTE a5 NUMERIC
@ATTRIBUTE a6 NUMERIC
@ATTRIBUTE a7 NUMERIC
@ATTRIBUTE class {26,121,62,125,17,58,0,118,59,87,37,109,113,94,90,64,25,60,14,61,110,111,89,63,88,85,1,92,108,84,112,117,65,19,119,16,93,91,107,13,126,114,18,81,102,66,123,95,124,354,342,352,344,334,345,339,347,349,343,355,332,333,341,340,330,350,351,353,337,335,338,294,346,336,383,387,386,384,348,274,382,380,285,329,379,301,364,385,357,239,356,293,198,154,173,152,184,153,205,129,128,168,133,132,179,150,166,7,187,175,169,208,178,161,135,185,130,158,5,162,193,203,151,131,206,197,10,155,199,177,170,159,190,12,160,140,174,139,8,3,180,127,186,172,188,9,194,134,204,181,192,157,195,163,11,165,164,207,202,171,496,415,498,446,454,390,393,453,414,389,491,527,444,449,542,488,486,442,455,403,482,447,484,388,443,497,405,514,391,392,480,448,456,492,458,452,420,490,451,481,487,513,493,445,408,495,483,409,489,450,544,439,394,240,494,231,296,247,213,254,289,282,214,246,248,325,272,212,328,320,288,297,292,209,230,299,215,276,241,232,278,211,300,217,283,256,287,259,277,281,237,286,233,295,234,250,273,216,291,280,210,275,235,242,324,279,298,243,321,315,545,548,634,555,635,562,567,670,588,577,552,549,551,582,553,559,550,563,546,671,584,586,599,547,585,587,561,583,598,658,560}
@DATA
89.5537626935,22.7652734543,2.06558571268,2.7275752151,89.5537626935,22.7652734543,1.45153471878,1.54388634661,26
92.8255550725,18.6267355785,1.59850941239,2.01995043097,92.8255550725,18.6267355785,1.43104596163,1.59217974715,121
93.5173289383,17.1353313636,1.77441961638,2.5103666576,93.5173289383,17.1353313636,1.37929546352,1.45471392088,62
90.8544594818,21.6582302102,1.80729098813,2.4677988633,90.8544594818,21.6582302102,1.40393135614,1.4626917942,125
85.8036913141,26.7292442374,2.39737227818,3.08646383727,85.8036913141,26.7292442374,1.43139049174,1.43027785018,17
91.0320760653,22.0122247549,1.55082519174,1.90463098397,91.0320760653,22.0122247549,1.51978634416,1.80684976727,58
86.9448731913,25.4095345593,1.66250730838,1.908543427,86.9448731913,25.4095345593,2.08933455167,2.6282357959,0
89.073776426,22.5339433113,2.5643660556,3.60676019404,89.073776426,22.5339433113,1.51496456949,1.60543884345,118
88.728655886,23.1370185497,2.18601719456,2.84386830044,88.728655886,23.1370185497,1.52159698488,1.63835350953,26
86.9482088754,25.5828671386,1.69384153143,1.95719119839,86.9482088754,25.5828671386,1.99087657552,2.47450796937,0
87.1096376771,24.1381304225,2.2414130708,2.80261050657,87.1096376771,24.1381304225,1.61973778737,1.73233410866,59
83.8447567988,29.2998678505,1.7076124109,1.99098385601,83.8447567988,29.2998678505,1.93099896287,2.35006383226,0
87.7283571954,24.8725181367,1.63491718965,1.90658049369,87.7283571954,24.8725181367,2.01652677818,2.55992460939,0
89.4140518939,21.2033129511,2.58562267902,3.5021380962,89.4140518939,21.2033129511,1.51567264118,1.56002521935,87
92.293985603,19.5549546532,1.78364614455,2.37168537564,92.293985603,19.5549546532,1.36660110739,1.41066547581,37
90.4450596345,20.6957718636,1.85434686471,2.37567867231,90.4450596345,20.6957718636,1.6138542158,1.84500243485,109
87.915051902,24.956527803,1.62482845015,1.89189886244,87.915051902,24.956527803,1.9416059565,2.45464366876,0
85.7728662904,27.5924914853,1.65175879726,1.87518110927,85.7728662904,27.5924914853,1.9134725634,2.34516371978,0
92.2666923457,19.925361201,1.50468788182,1.79281860527,92.2666923457,19.925361201,1.49560458734,1.76082749174,113
87.7600439102,24.9210893793,1.63025983056,1.86440513053,87.7600439102,24.9210893793,1.97652084844,2.47781183723,0
90.565858588,20.1989168763,1.88132716186,2.42175337529,90.565858588,20.1989168763,1.70889971643,2.02607169093,109
85.3859738131,27.6406024902,1.67636812205,1.91172200072,85.3859738131,27.6406024902,1.97174998313,2.41443952795,0
90.0704875144,21.7619152031,1.74292182685,2.2181563285,90.0704875144,21.7619152031,1.54900356493,1.72097780508,94
92.9687875823,17.0926007902,1.84523659776,2.47370962595,92.9687875823,17.0926007902,1.50901654411,1.74102734753,90
92.4127203315,17.6566025185,1.85872181837,2.51702189794,92.4127203315,17.6566025185,1.543606518,1.75429905924,64
91.070434824,19.3849510158,2.25817888233,3.16444966644,91.070434824,19.3849510158,1.52919349378,1.69306566927,25
91.0952012771,19.4778065102,2.15603998062,2.97416801693,91.0952012771,19.4778065102,1.56025968474,1.82853771265,60
90.9718511033,21.6922330702,2.11087721166,3.00603425836,90.9718511033,21.6922330702,1.24053021136,1.06822323664,14
90.8525667415,21.3873415752,1.89876514313,2.51517226067,90.8525667415,21.3873415752,1.40903151231,1.45767168566,61
88.4018189833,23.4055572323,2.60621892907,3.59634989927,88.4018189833,23.4055572323,1.50396211409,1.57358927387,118
94.3702183278,16.1413192603,1.39931357506,1.58676578627,94.3702183278,16.1413192603,1.45549077813,1.71799147937,110
88.790026891,21.565253635,2.06996030875,2.6530437757,88.790026891,21.565253635,1.83656202097,2.20247712768,111
90.9831983756,20.4203937661,2.30679517193,3.282460649,90.9831983756,20.4203937661,1.34313880817,1.31369184172,89
90.4964548077,21.1801806389,1.79487105073,2.30865703625,90.4964548077,21.1801806389,1.53568993781,1.68814915818,63
91.8572325729,18.549542544,2.23427940166,3.26523393645,91.8572325729,18.549542544,1.4114679034,1.48747524461,88
90.1835704578,20.502305394,1.97340185207,2.54635523362,90.1835704578,20.502305394,1.78255012037,2.09962144371,85
90.9631567449,20.3007693347,1.61347387716,1.82814206333,90.9631567449,20.3007693347,1.75086665637,2.08395603572,1
87.427762713,24.9472145395,1.62876799966,1.83337975485,87.427762713,24.9472145395,2.08278801801,2.63118214883,0
87.1028727726,24.4501009174,2.22249209802,2.76804490604,87.1028727726,24.4501009174,1.58757207289,1.69166556536,59
91.5672669947,19.0032247124,2.18100723909,3.08350790588,91.5672669947,19.0032247124,1.4826508735,1.61196687752,25
85.2676907362,28.4360941438,1.67067439895,1.98272845888,85.2676907362,28.4360941438,1.82379489386,2.23765121098,0
86.4297749571,26.3351735528,1.64819656291,1.8528795643,86.4297749571,26.3351735528,2.01311311285,2.49768221265,0
88.1338449468,24.9482205432,1.78503759924,2.22883714029,88.1338449468,24.9482205432,1.61717738858,1.91260082527,92
86.8701994055,25.7637838291,1.67594311382,1.9262081316,86.8701994055,25.7637838291,1.97466863795,2.44599842537,0
91.9753551137,18.070336118,2.03662068335,2.73582996816,91.9753551137,18.070336118,1.53792444524,1.7369394944,90
88.4804379821,24.7805981766,1.77557845731,2.17656943835,88.4804379821,24.7805981766,1.52176909835,1.65956845537,108
89.6619985802,23.2995390073,1.68885721414,2.08458583964,89.6619985802,23.2995390073,1.56315209271,1.85089729517,92
91.4771614796,20.7792012042,1.84817383529,2.47012857841,91.4771614796,20.7792012042,1.37401480808,1.40745273911,37
90.2120704535,20.9723362469,2.43668508439,3.35421979846,90.2120704535,20.9723362469,1.41578274616,1.38808252469,87
91.3450702375,19.429993076,2.1763233697,3.07043001943,91.3450702375,19.429993076,1.47715421162,1.58672604088,25
90.158255811,22.9197829075,1.62281431229,2.02961690578,90.158255811,22.9197829075,1.58770853021,1.92300986389,58
91.3211881613,20.4577758762,1.69647672461,2.22385189494,91.3211881613,20.4577758762,1.4847637636,1.64297567373,94
88.6156677068,24.1513569265,1.85481889092,2.31714446261,88.6156677068,24.1513569265,1.54776972343,1.69456823467,108
92.3760691964,18.4229418142,1.82054476807,2.51626123795,92.3760691964,18.4229418142,1.49618370436,1.78710680245,84
87.5390511315,22.8571266601,2.12534347693,2.69180552309,87.5390511315,22.8571266601,1.90360853529,2.28882032297,111
86.0531303836,27.7543109343,1.59486146766,1.85271268735,86.0531303836,27.7543109343,1.85949976898,2.33037461898,0
92.6189593616,18.7935522013,1.61388549022,2.12652998345,92.6189593616,18.7935522013,1.49332872248,1.74051726872,112
87.2936541731,23.9013029965,2.28216178833,2.84332608244,87.2936541731,23.9013029965,1.60516464256,1.70111914275,59
88.5284542111,25.1158494108,1.6574901104,2.00939591895,88.5284542111,25.1158494108,1.57977985051,1.83357819905,117
92.3055535094,17.4685924696,1.74818744504,2.33469497139,92.3055535094,17.4685924696,1.67796340621,2.0590534922,65
93.4520588097,17.2874673935,1.80575319866,2.59888513763,93.4520588097,17.2874673935,1.36231581194,1.43315071411,62
87.0799779978,26.0179787026,2.3654522311,3.16908220824,87.0799779978,26.0179787026,1.33436752519,1.28171893493,19
86.9335516064,26.8080140498,1.62528755159,1.92018415414,86.9335516064,26.8080140498,1.81316212436,2.25103372778,0
91.1342372087,21.7237552514,1.55519984232,1.91181291244,91.1342372087,21.7237552514,1.56667488039,1.90500905853,58
90.4435648941,20.2832032512,1.78607726399,2.18694097622,90.4435648941,20.2832032512,1.72559054309,2.02968406782,109
90.681297606,19.7584580294,1.75180229368,2.13882365364,90.681297606,19.7584580294,1.87076839798,2.28989045689,119
84.3957561063,28.9474625279,1.69296048234,1.99079373353,84.3957561063,28.9474625279,1.91743378947,2.35501414962,0
90.1445824172,20.89179908,2.10737701867,2.80626954906,90.1445824172,20.89179908,1.58706338991,1.81919170416,60
84.8354562194,28.9569955409,1.65305615348,1.95195778214,84.8354562194,28.9569955409,1.83809624059,2.25880154777,0
88.3367858811,25.1496150333,1.64298002171,1.97173553459,88.3367858811,25.1496150333,1.62174908774,1.92491537611,117
90.7212950718,21.6320576196,1.92304376195,2.55377143907,90.7212950718,21.6320576196,1.39751513786,1.41893889801,61
86.5332895554,26.0113458684,1.70972372544,1.98061924505,86.5332895554,26.0113458684,2.03208229266,2.52356331263,0
87.8797492428,24.8551605775,1.62255490063,1.85482776791,87.8797492428,24.8551605775,1.94356844735,2.43353333971,0
87.2492003315,25.6097070001,1.6309572054,1.85854049089,87.2492003315,25.6097070001,1.96437668735,2.45595216491,0
91.7424896388,20.736762395,1.67715419481,2.19465500171,91.7424896388,20.736762395,1.39149414227,1.53975396838,16
94.6312701184,15.9345198496,1.37102868617,1.53062733781,94.6312701184,15.9345198496,1.40923567606,1.63047062761,110
89.6957464124,23.0453063197,2.27945358857,3.17945910208,89.6957464124,23.0453063197,1.2818985285,1.14900178329,14
89.5761689493,23.8822379544,1.56895142218,1.85344935824,89.5761689493,23.8822379544,1.57446246647,1.8663353985,117
86.3504816364,26.5918353149,1.65026225438,1.88261120624,86.3504816364,26.5918353149,2.00080766291,2.48666509244,0
89.9527330855,23.2404384359,2.30367274458,3.29152104999,89.9527330855,23.2404384359,1.28033920834,1.1589462512,93
86.4721182433,26.7907080833,1.91273824061,2.37327587933,86.4721182433,26.7907080833,1.56518576882,1.69541759012,108
90.5016381423,20.2795129455,1.93260268654,2.49474588558,90.5016381423,20.2795129455,1.73670333466,2.04944684847,85
86.7394135686,25.8180069227,1.71098279997,1.98577854313,86.7394135686,25.8180069227,1.9896281396,2.46386722263,0
90.7165660762,21.7496366949,1.98901266195,2.68423611403,90.7165660762,21.7496366949,1.35445134428,1.35129275987,61
92.3387453853,19.5831650087,1.53669940512,1.85206278477,92.3387453853,19.5831650087,1.48398412722,1.7001961866,113
90.2696737736,22.7152318838,1.61356165898,2.00089211637,90.2696737736,22.7152318838,1.58852417183,1.91787644082,58
90.9109731459,20.7738473728,1.75401671234,2.25547089207,90.9109731459,20.7738473728,1.51692762753,1.67060607962,63
90.637222503,19.358938676,1.75438761924,2.11743259188,90.637222503,19.358938676,1.9858645962,2.4831898249,91
91.8429160316,19.5186417292,1.68040267827,2.16427457801,91.8429160316,19.5186417292,1.53180966338,1.8348593394,84
91.0291407988,21.8129089396,1.48365835177,1.68435351431,91.0291407988,21.8129089396,1.63459351792,2.00591044807,107
92.283185473,19.8503149579,1.75747529629,2.32443509096,92.283185473,19.8503149579,1.34278313024,1.36677422878,37
83.9845599051,28.5560532576,1.7644375133,2.01768397765,83.9845599051,28.5560532576,2.06996448419,2.51381740225,0
85.1341612231,28.4271262896,1.67578455326,1.99143809145,85.1341612231,28.4271262896,1.85633162609,2.28975635143,0
89.9980339685,20.8433097778,1.93661653487,2.44724471175,89.9980339685,20.8433097778,1.77710897047,2.10409673002,85
90.5602156347,22.1760057265,1.72472924272,2.18882500795,90.5602156347,22.1760057265,1.43644902732,1.5878339756,92
85.6433463162,28.1660877149,1.63370762442,1.93310201293,85.6433463162,28.1660877149,1.81699881401,2.25287907448,0
90.7832339837,19.8892581416,1.84729834499,2.33762597943,90.7832339837,19.8892581416,1.74428313186,2.10484600341,91
88.2674348898,24.1916476243,1.60504394784,1.82152143551,88.2674348898,24.1916476243,1.98837204284,2.52299461113,0
86.4772597323,26.1368797416,2.30205613729,2.98562764032,86.4772597323,26.1368797416,1.43378123493,1.45489094221,17
